MODELLO;RICAMBIO; PREZZO ; PREZZO IN PROMO ;PREZZO 2^ LAVORAZIONE
MODELLO;RICAMBIO; PREZZO ; PREZZO IN PROMO ;PREZZO 2^ LAVORAZIONE
15 PRO MAX;DISPLAY;; 469,00 € ; 235 € 
14 PRO MAX;DISPLAY; 459,00 € ; 439,00 € ; 220 € 
16 PRO MAX;SCOCCA COMPLETA;; 399,00 € ; 200 € 
15 PRO;DISPLAY;; 395,00 € ; 198 € 
16 PRO MAX;RIGENERAZIONE DISPLAY;; 389,00 € ; 195 € 
15 PRO MAX;SCOCCA COMPLETA;; 379,00 € ; 190 € 
16 Plus;SCOCCA COMPLETA;; 379,00 € ; 190 € 
16 PRO;SCOCCA COMPLETA;; 379,00 € ; 190 € 
15 PRO;SCOCCA COMPLETA;; 349,00 € ; 175 € 
14 PRO;DISPLAY;; 335,00 € ; 168 € 
16;SCOCCA COMPLETA;; 329,00 € ; 165 € 
15 Plus;DISPLAY; 355,00 € ; 315,00 € ; 158 € 
16 Plus;RIGENERAZIONE DISPLAY;; 305,00 € ; 153 € 
16 PRO;RIGENERAZIONE DISPLAY;; 305,00 € ; 153 € 
15 PRO MAX;RIGENERAZIONE DISPLAY;; 299,00 € ; 150 € 
16 PRO;MB E REC. LIQUIDI;; 299,00 € ; 150 € 
16 PRO MAX;MB E REC. LIQUIDI;; 299,00 € ; 150 € 
16 PRO MAX;FACE ID;; 299,00 € ; 150 € 
15;DISPLAY; 319,00 € ; 289,00 € ; 145 € 
15 Plus;SCOCCA COMPLETA;; 289,00 € ; 145 € 
15 PRO;RIGENERAZIONE DISPLAY;; 289,00 € ; 145 € 
16 Plus;FACE ID;; 289,00 € ; 145 € 
13 PRO MAX;DISPLAY; 305,00 € ; 285,00 € ; 143 € 
14 PRO MAX;RIGENERAZIONE DISPLAY;; 279,00 € ; 140 € 
16 PRO MAX;FOTOCAMERA POSTERIORE;; 279,00 € ; 195 € 
15;SCOCCA COMPLETA;; 259,00 € ; 130 € 
16;FACE ID;; 259,00 € ; 130 € 
16 Plus;MB E REC. LIQUIDI;; 259,00 € ; 130 € 
16 PRO;FOTOCAMERA POSTERIORE;; 259,00 € ; 181 € 
16 PRO;FACE ID;; 259,00 € ; 130 € 
16;MB E REC. LIQUIDI;; 249,00 € ; 125 € 
15 PRO;FACE ID; 299,00 € ; 249,00 € ; 125 € 
15 PRO MAX;FACE ID; 299,00 € ; 249,00 € ; 125 € 
16 PRO;TELAIO;; 249,00 € ; 125 € 
16 PRO MAX;TELAIO;; 249,00 € ; 125 € 
14 Plus;DISPLAY; 275,00 € ; 245,00 € ; 123 € 
15;FACE ID; 259,00 € ; 239,00 € ; 120 € 
14 PRO MAX;SCOCCA COMPLETA;; 239,00 € ; 120 € 
15 Plus;FACE ID; 289,00 € ; 239,00 € ; 120 € 
15 PRO MAX;TELAIO;; 239,00 € ; 120 € 
16;RIGENERAZIONE DISPLAY;; 229,00 € ; 115 € 
13 PRO;DISPLAY; 249,00 € ; 229,00 € ; 115 € 
14 Plus;SCOCCA COMPLETA;; 229,00 € ; 115 € 
14 PRO;RIGENERAZIONE DISPLAY;; 229,00 € ; 115 € 
14 PRO;SCOCCA COMPLETA;; 229,00 € ; 115 € 
15 Plus;RIGENERAZIONE DISPLAY;; 229,00 € ; 115 € 
15 PRO;TELAIO;; 229,00 € ; 115 € 
16 Plus;VETRO POSTERIORE;; 229,00 € ; 115 € 
16 PRO MAX;VETRO POSTERIORE;; 229,00 € ; 115 € 
12 PRO MAX;DISPLAY; 265,00 € ; 225,00 € ; 113 € 
15;RIGENERAZIONE DISPLAY;; 219,00 € ; 110 € 
13 PRO MAX;SCOCCA COMPLETA;; 219,00 € ; 110 € 
15 PRO;MB E REC. LIQUIDI;; 219,00 € ; 110 € 
15 PRO MAX;MB E REC. LIQUIDI;; 219,00 € ; 110 € 
14;SCOCCA COMPLETA;; 209,00 € ; 105 € 
14;FACE ID; 259,00 € ; 209,00 € ; 105 € 
12 PRO MAX;SCOCCA COMPLETA;; 209,00 € ; 105 € 
13 PRO;SCOCCA COMPLETA;; 209,00 € ; 105 € 
13 PRO MAX;RIGENERAZIONE DISPLAY;; 209,00 € ; 105 € 
14 Plus;FACE ID; 289,00 € ; 209,00 € ; 105 € 
14 PRO;FACE ID; 259,00 € ; 209,00 € ; 105 € 
14 PRO MAX;FACE ID; 299,00 € ; 209,00 € ; 105 € 
15 Plus;MB E REC. LIQUIDI;; 209,00 € ; 105 € 
16 Plus;TELAIO;; 209,00 € ; 105 € 
13;FACE ID; 259,00 € ; 199,00 € ; 100 € 
13;SCOCCA COMPLETA;; 199,00 € ; 100 € 
14;DISPLAY; 229,00 € ; 199,00 € ; 100 € 
15;MB E REC. LIQUIDI;; 199,00 € ; 100 € 
16;VETRO POSTERIORE;; 199,00 € ; 100 € 
16;TELAIO;; 199,00 € ; 100 € 
13 PRO;FACE ID; 259,00 € ; 199,00 € ; 100 € 
13 PRO MAX;FACE ID; 289,00 € ; 199,00 € ; 100 € 
15 PRO MAX;FOTOCAMERA POSTERIORE;; 199,00 € ; 139 € 
15 PRO MAX;VETRO POSTERIORE;; 199,00 € ; 100 € 
16 PRO;VETRO POSTERIORE;; 199,00 € ; 100 € 
16;FOTOCAMERA POSTERIORE;; 189,00 € ; 132 € 
12 PRO;SCOCCA COMPLETA;; 189,00 € ; 95 € 
13 MINI;SCOCCA COMPLETA;; 189,00 € ; 95 € 
13 MINI;FACE ID; 239,00 € ; 189,00 € ; 95 € 
13 PRO;RIGENERAZIONE DISPLAY;; 189,00 € ; 95 € 
14 Plus;RIGENERAZIONE DISPLAY;; 189,00 € ; 95 € 
15 PRO;FOTOCAMERA POSTERIORE;; 189,00 € ; 132 € 
16 Plus;FOTOCAMERA POSTERIORE;; 189,00 € ; 132 € 
13;DISPLAY; 199,00 € ; 179,00 € ; 90 € 
14;RIGENERAZIONE DISPLAY;; 179,00 € ; 90 € 
11 PRO MAX;SCOCCA COMPLETA;; 179,00 € ; 90 € 
13 MINI;DISPLAY; 199,00 € ; 179,00 € ; 90 € 
14 PRO;MB E REC. LIQUIDI;; 179,00 € ; 90 € 
14 PRO MAX;VETRO POSTERIORE;; 179,00 € ; 90 € 
14 PRO MAX;MB E REC. LIQUIDI;; 179,00 € ; 90 € 
15 Plus;TELAIO;; 179,00 € ; 90 € 
12;SCOCCA COMPLETA;; 169,00 € ; 85 € 
13;RIGENERAZIONE DISPLAY;; 169,00 € ; 85 € 
11 PRO;SCOCCA COMPLETA;; 169,00 € ; 85 € 
12 PRO MAX;RIGENERAZIONE DISPLAY;; 169,00 € ; 85 € 
13 MINI;RIGENERAZIONE DISPLAY;; 169,00 € ; 85 € 
13 PRO;MB E REC. LIQUIDI;; 169,00 € ; 85 € 
13 PRO MAX;VETRO POSTERIORE;; 169,00 € ; 85 € 
13 PRO MAX;MB E REC. LIQUIDI;; 169,00 € ; 85 € 
14 PRO;VETRO POSTERIORE;; 169,00 € ; 85 € 
14 PRO MAX;FOTOCAMERA POSTERIORE;; 169,00 € ; 118 € 
15 Plus;VETRO POSTERIORE;; 169,00 € ; 85 € 
15 PRO;VETRO POSTERIORE;; 169,00 € ; 85 € 
13;MB E REC. LIQUIDI;; 159,00 € ; 80 € 
14;MB E REC. LIQUIDI;; 159,00 € ; 80 € 
15;VETRO POSTERIORE;; 159,00 € ; 80 € 
15;TELAIO;; 159,00 € ; 80 € 
12 MINI;SCOCCA COMPLETA;; 159,00 € ; 80 € 
12 MINI;DISPLAY; 199,00 € ; 159,00 € ; 80 € 
12 PRO;DISPLAY; 179,00 € ; 159,00 € ; 80 € 
12 PRO;FOTOCAMERA POSTERIORE;; 159,00 € ; 111 € 
12 PRO MAX;FOTOCAMERA POSTERIORE;; 159,00 € ; 111 € 
12 PRO MAX;VETRO POSTERIORE;; 159,00 € ; 80 € 
12 PRO MAX;MB E REC. LIQUIDI;; 159,00 € ; 80 € 
12 PRO MAX;FACE ID;; 159,00 € ; 80 € 
13 MINI;MB E REC. LIQUIDI;; 159,00 € ; 80 € 
13 PRO;VETRO POSTERIORE;; 159,00 € ; 80 € 
13 PRO MAX;FOTOCAMERA POSTERIORE;; 159,00 € ; 111 € 
14 Plus;TELAIO;; 159,00 € ; 80 € 
14 Plus;MB E REC. LIQUIDI; 169,00 € ; 159,00 € ; 80 € 
14 PRO;FOTOCAMERA POSTERIORE;; 159,00 € ; 111 € 
15 Plus;FOTOCAMERA POSTERIORE;; 159,00 € ; 111 € 
16 PRO MAX;DOCK;; 159,00 € ; 80 € 
11;SCOCCA COMPLETA;; 149,00 € ; 75 € 
12;RIGENERAZIONE DISPLAY;; 149,00 € ; 75 € 
12;DISPLAY; 169,00 € ; 149,00 € ; 75 € 
16;DOCK;; 149,00 € ; 75 € 
11 PRO MAX;DISPLAY; 179,00 € ; 149,00 € ; 75 € 
12 PRO;RIGENERAZIONE DISPLAY;; 149,00 € ; 75 € 
12 PRO;VETRO POSTERIORE;; 149,00 € ; 75 € 
12 PRO;MB E REC. LIQUIDI;; 149,00 € ; 75 € 
12 PRO;FACE ID;; 149,00 € ; 75 € 
13 PRO;FOTOCAMERA POSTERIORE;; 149,00 € ; 104 € 
16 Plus;DOCK;; 149,00 € ; 75 € 
16 PRO;DOCK;; 149,00 € ; 75 € 
13;VETRO POSTERIORE;; 139,00 € ; 70 € 
14;FOTOCAMERA POSTERIORE;; 139,00 € ; 97 € 
15;FOTOCAMERA POSTERIORE;; 139,00 € ; 97 € 
11 PRO;DISPLAY; 169,00 € ; 139,00 € ; 70 € 
11 PRO MAX;VETRO POSTERIORE;; 139,00 € ; 70 € 
12 MINI;RIGENERAZIONE DISPLAY;; 139,00 € ; 70 € 
14 Plus;FOTOCAMERA POSTERIORE; 149,00 € ; 139,00 € ; 97 € 
SE 3;SCOCCA COMPLETA;; 139,00 € ; 70 € 
X;SCOCCA COMPLETA;; 139,00 € ; 70 € 
XR;SCOCCA COMPLETA;; 139,00 € ; 70 € 
XS;SCOCCA COMPLETA;; 139,00 € ; 70 € 
XS MAX;SCOCCA COMPLETA;; 139,00 € ; 70 € 
12;VETRO POSTERIORE;; 129,00 € ; 65 € 
12;MB E REC. LIQUIDI;; 129,00 € ; 65 € 
12;FACE ID;; 129,00 € ; 65 € 
14;TELAIO;; 129,00 € ; 65 € 
11 PRO;FOTOCAMERA POSTERIORE;; 129,00 € ; 90 € 
11 PRO;VETRO POSTERIORE;; 129,00 € ; 65 € 
11 PRO MAX;FOTOCAMERA POSTERIORE;; 129,00 € ; 90 € 
12 MINI;FACE ID;; 129,00 € ; 65 € 
12 MINI;MB E REC. LIQUIDI;; 129,00 € ; 65 € 
13 MINI;VETRO POSTERIORE;; 129,00 € ; 65 € 
16 PRO MAX;ALTRI DANNI;; 129,00 € ; 65 € 
XS MAX;DISPLAY; 159,00 € ; 129,00 € ; 65 € 
13;FOTOCAMERA POSTERIORE;; 119,00 € ; 83 € 
16;ALTRI DANNI;; 119,00 € ; 60 € 
11 PRO;MB E REC. LIQUIDI;; 119,00 € ; 60 € 
11 PRO;FACE ID;; 119,00 € ; 60 € 
11 PRO MAX;MB E REC. LIQUIDI;; 119,00 € ; 60 € 
11 PRO MAX;FACE ID;; 119,00 € ; 60 € 
12 MINI;VETRO POSTERIORE;; 119,00 € ; 60 € 
14 Plus;VETRO POSTERIORE;; 119,00 € ; 60 € 
15 Plus;DOCK;; 119,00 € ; 60 € 
16 Plus;ALTRI DANNI;; 119,00 € ; 60 € 
16 PRO;ALTRI DANNI;; 119,00 € ; 60 € 
XS;DISPLAY; 149,00 € ; 119,00 € ; 60 € 
XS MAX;MB E REC. LIQUIDI;; 119,00 € ; 60 € 
11;DISPLAY; 129,00 € ; 109,00 € ; 55 € 
11;VETRO POSTERIORE;; 109,00 € ; 55 € 
11;MB E REC. LIQUIDI;; 109,00 € ; 55 € 
11;FACE ID;; 109,00 € ; 55 € 
12;FOTOCAMERA POSTERIORE;; 109,00 € ; 76 € 
14;VETRO POSTERIORE;; 109,00 € ; 55 € 
15;DOCK;; 109,00 € ; 55 € 
11 PRO;DOCK;; 109,00 € ; 55 € 
11 PRO MAX;DOCK;; 109,00 € ; 55 € 
12 MINI;FOTOCAMERA POSTERIORE;; 109,00 € ; 76 € 
13 MINI;FOTOCAMERA POSTERIORE;; 109,00 € ; 76 € 
15 PRO;DOCK;; 109,00 € ; 55 € 
15 PRO MAX;DOCK;; 109,00 € ; 55 € 
SE 2;SCOCCA COMPLETA;; 109,00 € ; 55 € 
SE 2;MB E REC. LIQUIDI;; 109,00 € ; 55 € 
SE 3;VETRO POSTERIORE;; 109,00 € ; 55 € 
SE 3;MB E REC. LIQUIDI;; 109,00 € ; 55 € 
X;DISPLAY; 139,00 € ; 109,00 € ; 55 € 
X;VETRO POSTERIORE;; 109,00 € ; 55 € 
X;MB E REC. LIQUIDI;; 109,00 € ; 55 € 
